日期,身份別,多方交易口數,多方交易契約金額(百萬元),空方交易口數,空方交易契約金額(百萬元),多空交易口數淨額,多空交易契約金額淨額(百萬元),多方未平倉口數,多方未平倉契約金額(百萬元),空方未平倉口數,空方未平倉契約金額(百萬元),多空未平倉口數淨額,多空未平倉契約金額淨額(百萬元)
2020/8/12,外資及陸資,426568,260362,426790,256749,-222,3613,190890,168846,238975,115034,-48085,53812
2020/8/13,自營商,208811,39072,201787,38554,7024,518,238476,74466,265378,50764,-26902,23702
2020/8/13,投信,4858,12247,3993,10077,865,2170,10437,14349,43671,102682,-33234,-88333
2020/8/13,外資及陸資,273657,225247,272691,224928,966,319,200371,170183,247067,115746,-46696,54437
2020/8/14,自營商,212240,40141,208498,36141,3742,4000,255311,77129,280427,49374,-25116,27755
2020/8/14,投信,7796,18457,6781,15814,1015,2643,10419,14366,42638,100491,-32219,-86125
2020/8/14,外資及陸資,290158,228453,285340,226059,4818,2394,207199,171515,249077,114429,-41878,57086
2020/8/17,自營商,289945,57562,268046,60385,21899,-2823,276830,84073,280012,58696,-3182,25377
2020/8/17,投信,21518,52261,20683,49908,835,2353,10438,14595,41822,99478,-31384,-84883
2020/8/17,外資及陸資,303329,276031,302863,270563,466,5468,206741,178467,250853,115218,-44112,63249
2020/8/18,自營商,341088,84364,362602,81551,-21514,2813,281823,80575,306660,52455,-24837,28120
2020/8/18,投信,17254,35782,17468,36364,-214,-582,10500,14533,42098,99539,-31598,-85006
2020/8/18,外資及陸資,344683,307762,359282,319649,-14599,-11887,199749,167478,256960,116162,-57211,51316
2020/8/19,自營商,455975,80494,457641,80375,-1666,119,154975,65033,173596,36230,-18621,28803
2020/8/19,投信,673,1612,1005,2452,-332,-840,8290,14370,41856,100052,-33566,-85682
2020/8/19,外資及陸資,343981,233129,350885,243381,-6904,-10252,119305,139560,154586,100190,-35281,39370
2020/8/20,自營商,379007,83017,414796,77014,-35789,6003,182957,71373,237328,37453,-54371,33920
2020/8/20,投信,67,163,3806,9239,-3739,-9076,8308,13916,45613,105645,-37305,-91729
2020/8/20,外資及陸資,477437,413740,483997,422076,-6560,-8336,140563,141481,178813,111333,-38250,30148
2020/8/21,自營商,278273,45264,249945,48281,28328,-3017,209132,70840,235026,39241,-25894,31599
2020/8/21,投信,1564,3925,160,388,1404,3537,8365,14352,44266,104439,-35901,-90087
2020/8/21,外資及陸資,372903,294020,342326,269195,30577,24825,164750,151021,172450,95286,-7700,55735
2020/8/24,自營商,240648,39985,226472,42161,14176,-2176,219753,71211,231386,41699,-11633,29512
2020/8/24,投信,271,661,1602,476,-1331,185,8235,14103,45467,104377,-37232,-90274
2020/8/24,外資及陸資,312977,221092,313227,216935,-250,4157,171748,153118,179780,92973,-8032,60145
2020/8/25,自營商,338149,44420,321531,46569,16618,-2149,260142,72299,255174,44642,4968,27657
2020/8/25,投信,745,1896,1200,3,-455,1893,8316,14451,46003,103776,-37687,-89325
2020/8/25,外資及陸資,301874,211151,304469,211312,-2595,-161,176060,160390,186732,99776,-10672,60614
2020/8/26,自營商,354480,36952,345643,37107,8837,-155,184240,68899,188333,41337,-4093,27562
2020/8/26,投信,268,583,154,144,114,439,8202,14368,45775,103677,-37573,-89309
2020/8/26,外資及陸資,252300,165154,247183,159756,5117,5398,160330,162855,170503,96470,-10173,66385
2020/8/27,自營商,237269,43428,244602,43372,-7333,56,204994,69725,216491,42183,-11497,27542
2020/8/27,投信,318,818,13,33,305,785,8192,14310,45460,102584,-37268,-88274
2020/8/27,外資及陸資,279728,224436,277812,224291,1916,145,169442,162751,177699,96379,-8257,66372
2020/8/28,自營商,227866,47276,248888,42885,-21022,4391,203953,72516,236382,40754,-32429,31762
2020/8/28,投信,9,23,1415,3560,-1406,-3537,8157,14179,46831,105488,-38674,-91309
2020/8/28,外資及陸資,322933,272939,334795,283587,-11862,-10648,168606,156658,185362,101235,-16756,55423
2020/8/31,自營商,309709,42037,325198,44446,-15489,-2409,220222,72356,267958,43237,-47736,29119
2020/8/31,投信,329,784,396,989,-67,-205,8457,14778,47198,105568,-38741,-90790
2020/8/31,外資及陸資,375154,260688,384664,269404,-9510,-8716,168914,157167,195237,110750,-26323,46417
2020/9/1,自營商,348616,45053,332036,44103,16580,950,243172,70544,274209,40228,-31037,30316
2020/9/1,投信,435,1104,92,232,343,872,8408,14781,46806,105419,-38398,-90638
2020/9/1,外資及陸資,364970,244638,371981,241568,-7011,3070,174521,162449,207855,112685,-33334,49764
2020/9/2,自營商,407472,50825,425928,49831,-18456,994,193044,69718,230440,38469,-37396,31249
2020/9/2,投信,71,46,405,383,-334,-337,8228,14433,46960,105418,-38732,-90985
2020/9/2,外資及陸資,346071,232895,349321,230960,-3250,1935,164167,159013,194658,107327,-30491,51686
2020/9/3,自營商,268816,45155,260841,47526,7975,-2371,222038,69315,251468,40324,-29430,28991
2020/9/3,投信,372,948,69,176,303,772,8190,14381,46619,104914,-38429,-90533
2020/9/3,外資及陸資,330534,263787,322583,259444,7951,4343,184386,167899,206983,111747,-22597,56152
2020/9/4,自營商,236509,55410,242287,56406,-5778,-996,233362,70359,268799,42661,-35437,27698
2020/9/4,投信,9,23,131,330,-122,-307,8147,14130,46698,104068,-38551,-89938
2020/9/4,外資及陸資,426286,324234,437350,325116,-11064,-882,187531,166241,221336,111480,-33805,54761
2020/9/7,自營商,325986,57190,319482,60575,6504,-3385,245449,69756,274525,45439,-29076,24317
2020/9/7,投信,0,0,326,804,-326,-804,8104,13996,46981,104550,-38877,-90554
2020/9/7,外資及陸資,450445,336970,450544,334380,-99,2590,191049,164390,224953,107047,-33904,57343
2020/9/8,自營商,271710,42860,261537,43034,10173,-174,264764,70531,285442,46204,-20678,24327
2020/9/8,投信,127,283,141,356,-14,-73,8103,14055,46994,105313,-38891,-91258
2020/9/8,外資及陸資,281965,199947,276038,192822,5927,7125,200550,177000,228527,112109,-27977,64891
2020/9/9,自營商,516211,83963,552647,81809,-36436,2154,209750,73359,255040,46913,-45290,26446
2020/9/9,投信,44,80,1832,4564,-1788,-4484,8061,13876,48740,109125,-40679,-95249
2020/9/9,外資及陸資,537232,335281,543020,345134,-5788,-9853,195357,179562,215780,124922,-20423,54640
2020/9/10,自營商,204776,46885,184969,47737,19807,-852,232506,76645,258144,50825,-25638,25820
2020/9/10,投信,3308,8379,3334,8404,-26,-25,8076,14023,48781,110060,-40705,-96037
2020/9/10,外資及陸資,295142,235953,282426,224098,12716,11855,205672,187765,213379,120823,-7707,66942
2020/9/11,自營商,221066,52889,234332,48302,-13266,4587,244722,79514,284028,49142,-39306,30372
2020/9/11,投信,9805,23275,9831,23244,-26,31,8077,13989,48808,109734,-40731,-95745
2020/9/11,外資及陸資,344041,267730,359203,277959,-15162,-10229,209078,186988,231896,130469,-22818,56519
2020/9/14,自營商,275071,68098,260953,65525,14118,2573,256789,92486,282146,59255,-25357,33231
2020/9/14,投信,23376,56506,22551,54179,825,2327,8319,14707,48225,109034,-39906,-94327
2020/9/14,外資及陸資,334481,291318,322501,288488,11980,2830,222833,195042,233650,135248,-10817,59794
2020/9/15,自營商,268177,71691,266759,68607,1418,3084,259488,84450,282066,47936,-22578,36514
2020/9/15,投信,18225,38415,17619,36743,606,1672,8795,15979,48095,109107,-39300,-93128
